"index_no";"Company";"TypeName";"inches";"resolution_width";"resolution_height";"touchscreen";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"gpu_name";"OpSys";"Weight";"Price"
61;"Dell";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";"1.80";16;"Hybrid";"256";"2048";"AMD";"  Radeon 530";"windows";2.8;69211
62;"Dell";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Intel";"  UHD Graphics 620";"windows";1.7;46833
63;"Lenovo";"Notebook";14.0;1920;1080;0;"Intel";"Core i3";"2.70";8;"SSD";"256";"0";"Intel";"  HD Graphics 620";"N/A";1.7;31915
64;"Asus";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Intel";"  UHD Graphics 620";"windows";1.4;50136
65;"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";"2.50";8;"SSD";"256";"0";"Intel";"  HD Graphics 620";"windows";1.86;36763
66;"Asus";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";"2.80";16;"SSD";"512";"0";"Nvidia";"  GeForce GTX 1050 Ti";"windows";1.8;105654
67;"HP";"Notebook";15.6;1366;768;0;"Intel";"Core i3";"2.00";4;"HDD";"500";"0";"AMD";"  Radeon 520";"windows";1.86;23373
68;"HP";"Notebook";14.0;1366;768;0;"Intel";"Celeron Dual";"1.60";4;"SSD";"32";"0";"Intel";"  HD Graphics 400";"windows";1.44;12201
69;"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";"2.50";4;"HDD";"1024";"0";"Intel";"  HD Graphics 620";"windows";1.9;29251
70;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";"2.80";12;"HDD";"1024";"0";"Nvidia";"  GeForce GTX 1050 Ti";"linux";3.0;50563
71;"Microsoft";"Ultrabook";13.5;2256;1504;1;"Intel";"Core i5";"2.50";4;"SSD";"128";"0";"Intel";"  HD Graphics 620";"windows";1.25;58022
72;"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i7";"1.80";64;"SSD";"256";"0";"AMD";"  Radeon 530";"windows";1.4;50882
73;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";"1.80";8;"SSD";"256";"0";"AMD";"  Radeon 530";"windows";2.2;46354
74;"MSI";"Gaming";17.3;1920;1080;0;"Intel";"Core i5";"2.50";8;"Hybrid";"128";"1024";"Nvidia";"  GeForce GTX 1050";"windows";2.7;58342
75;"Acer";"Notebook";14.0;1366;768;0;"Intel";"Core i3";"2.00";8;"HDD";"1024";"0";"Intel";"  HD Graphics 520";"windows";2.1;20726
76;"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";"2.80";8;"HDD";"1024";"0";"Nvidia";"  GeForce GTX 1050";"windows";2.2;50563
77;"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";"2.50";8;"HDD";"2048";"0";"Intel";"  HD Graphics 620";"N/A";2.2;27652
78;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";"1.80";8;"Hybrid";"128";"1024";"Intel";"  UHD Graphics 620";"windows";2.02;45554
79;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";"2.70";4;"HDD";"1024";"0";"Nvidia";"  GeForce MX130";"windows";2.2;28238
80;"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";"1.60";8;"Hybrid";"128";"1024";"Nvidia";"  GeForce 930MX";"windows";2.5;52055
81;"Dell";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Intel";"  UHD Graphics 620";"windows";1.88;58403
82;"Apple";"Ultrabook";12.0;2304;1440;0;"Intel";"Core i5";"1.30";8;"SSD";"512";"0";"Intel";"  HD Graphics 615";"macos";0.92;80453
83;"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Intel";"  HD Graphics 620";"windows";1.63;45821
84;"Lenovo";"Notebook";15.6;1920;1080;0;"AMD";"A6-Series 9220";"2.50";4;"SSD";"128";"0";"AMD";"  R4 Graphics";"windows";2.2;21259
85;"Acer";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";"3.00";4;"HDD";"1024";"0";"AMD";"  Radeon R5";"windows";2.1;21046
86;"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";"2.80";16;"Hybrid";"128";"1024";"Nvidia";"  GeForce GTX 1050 Ti";"windows";2.65;71875
87;"HP";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";"1.80";8;"SSD";"256";"0";"Nvidia";"  GeForce GTX 940MX";"windows";1.83;37243
88;"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";"2.50";8;"SSD";"256";"0";"Intel";"  HD Graphics 620";"windows";1.96;31914
89;"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";"2.80";16;"Hybrid";"128";"1024";"Nvidia";"  GeForce GTX 1060";"windows";2.2;77203
90;"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i7";"1.80";8;"SSD";"256";"0";"Intel";"  UHD Graphics 620";"windows";1.21;87859
91;"Asus";"Gaming";15.6;1920;1080;0;"AMD";"FX 9830P";"3.00";8;"HDD";"1024";"0";"AMD";"  Radeon RX 560";"windows";2.45;37243
92;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";"1.80";2;"HDD";"1024";"0";"Nvidia";"  GeForce MX150";"windows";2.2;36710
93;"HP";"Notebook";13.3;1920;1080;0;"Intel";"Core i7";"1.80";16;"SSD";"512";"0";"Intel";"  UHD Graphics 620";"windows";1.49;63776
94;"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i5";"2.50";8;"SSD";"256";"0";"Nvidia";"  GeForce GTX 1060";"windows";2.65;63670
95;"Asus";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";"2.70";8;"SSD";"256";"0";"Intel";"  HD Graphics 620";"windows";1.25;55891
96;"Acer";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Intel";"  UHD Graphics 620";"windows";1.5;45128
97;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";"2.70";8;"HDD";"1024";"0";"AMD";"  Radeon R5 M430";"linux";2.2;31963
98;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";"2.00";4;"SSD";"256";"0";"AMD";"  Radeon R5 M430";"linux";2.2;25841
99;"Asus";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";"2.40";6;"SSD";"256";"0";"Nvidia";"  GeForce 920M";"windows";2.0;30743
100;"HP";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";"2.80";12;"Hybrid";"128";"1024";"Nvidia";"  GeForce GTX 1050";"windows";2.62;66547
101;"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";"2.70";8;"SSD";"256";"0";"AMD";"  Radeon 530";"windows";1.91;38308
102;"HP";"Notebook";15.6;1920;1080;0;"AMD";"E-Series E2-9000e";"1.50";4;"HDD";"500";"0";"AMD";"  Radeon R2";"windows";2.1;18595
103;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";"1.60";8;"HDD";"1024";"0";"AMD";"  Radeon 520";"linux";2.2;34472
104;"HP";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i7";"2.70";8;"SSD";"256";"0";"Nvidia";"  GeForce MX150";"windows";1.38;59620
105;"Microsoft";"Ultrabook";13.5;2256;1504;1;"Intel";"Core i5";"2.50";8;"SSD";"256";"0";"Intel";"  HD Graphics 620";"windows";1.25;71395
106;"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";"2.50";6;"SSD";"256";"0";"Nvidia";"  GeForce 940MX";"windows";1.58;35112
107;"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";"2.00";4;"HDD";"1024";"0";"Intel";"  HD Graphics 520";"windows";1.85;22106
108;"Asus";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";"2.70";8;"SSD";"256";"0";"Nvidia";"  GeForce 940MX";"windows";1.3;63563
109;"MSI";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";"2.80";16;"Hybrid";"256";"1024";"Nvidia";"  GeForce GTX 1050 Ti";"windows";2.2;69211
110;"Lenovo";"Notebook";14.0;1920;1080;0;"Intel";"Core i7";"2.70";8;"SSD";"256";"0";"Intel";"  HD Graphics 620";"windows";1.58;78854
111;"Asus";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";"1.80";16;"Hybrid";"256";"1024";"Nvidia";"  GeForce MX150";"windows";1.5;67239
112;"Dell";"Ultrabook";13.3;3200;1800;1;"Intel";"Core i7";"2.40";8;"SSD";"256";"0";"Intel";"  Iris Plus Graphics 640";"windows";1.23;73473
113;"Lenovo";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i5";"2.50";8;"SSD";"256";"0";"Intel";"  HD Graphics 620";"windows";1.37;74539
114;"HP";"Notebook";14.0;1366;768;0;"Intel";"Core i5";"1.60";4;"HDD";"500";"0";"Intel";"  UHD Graphics 620";"windows";1.63;38468
115;"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Intel";"  UHD Graphics 620";"windows";1.21;86793
117;"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i7";"1.80";8;"SSD";"512";"0";"Intel";"  UHD Graphics 620";"windows";1.63;57756
118;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";"1.80";8;"Hybrid";"256";"1024";"Nvidia";"  GeForce 940MX";"windows";2.16;60224
119;"Asus";"Notebook";17.3;1920;1080;0;"Intel";"Core i3";"2.00";4;"HDD";"1024";"0";"Nvidia";"  GeForce 920MX";"windows";2.0;30050
120;"Asus";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";"1.80";8;"SSD";"256";"0";"Nvidia";"  GeForce 940MX";"windows";1.7;59567
121;"Acer";"Notebook";15.6;1920;1080;1;"Intel";"Core i3";"2.40";6;"HDD";"1024";"0";"Intel";"  HD Graphics 620";"windows";2.1;25521
122;"MSI";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";"2.80";16;"Hybrid";"256";"2048";"Nvidia";"  GeForce GTX 1070";"windows";1.8;119427
123;"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";"2.50";8;"SSD";"256";"0";"Nvidia";"  GeForce 940MX";"N/A";2.2;33513
124;"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";"1.80";16;"SSD";"512";"0";"Nvidia";"  GeForce 930MX ";"windows";2.5;67719
125;"Acer";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";"3.00";4;"SSD";"256";"0";"AMD";"  Radeon R5";"windows";2.1;24029
127;"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";"1.60";8;"HDD";"1024";"0";"Intel";"  UHD Graphics 620";"windows";1.63;43263
128;"Asus";"Notebook";14.0;1366;768;0;"AMD";"E-Series 6110";"1.50";4;"SSD";"64";"0";"AMD";"  Radeon R2";"windows";1.65;14811
129;"Dell";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";"1.80";16;"Hybrid";"256";"2048";"AMD";"  Radeon 530";"windows";2.8;74379
130;"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Intel";"  UHD Graphics 620";"windows";2.5;49444
131;"Dell";"Notebook";15.6;1366;768;0;"Intel";"Core i5";"2.50";8;"HDD";"1024";"0";"AMD";"  Radeon R7 M445";"windows";2.36;34045
132;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";"2.00";4;"HDD";"1024";"0";"AMD";"  Radeon R5 M430";"windows";2.2;23923
133;"Acer";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";"1.80";8;"SSD";"256";"0";"Intel";"  UHD Graphics 620";"windows";1.6;47100
134;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";"2.70";4;"SSD";"256";"0";"Nvidia";"  GeForce MX130";"windows";7.2;30476
135;"HP";"Notebook";15.6;1366;768;0;"Intel";"Core i7";"2.70";8;"HDD";"1024";"0";"Intel";"  HD Graphics 620";"windows";2.05;31861
136;"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i7";"1.80";8;"SSD";"256";"0";"Intel";"  UHD Graphics 620";"windows";1.63;52641
137;"Lenovo";"Notebook";15.6;1366;768;0;"Intel";"Celeron Dual";"1.10";4;"HDD";"1024";"0";"Intel";"  HD Graphics 500";"N/A";1.9;13446
138;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i5";"2.50";8;"Hybrid";"128";"1024";"Nvidia";"  GeForce GTX 1050";"windows";3.0;49977
139;"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";"2.50";4;"HDD";"1024";"0";"Nvidia";"  GeForce 920MX";"N/A";2.2;26587
140;"HP";"Notebook";13.3;1920;1080;0;"Intel";"Core i5";"2.50";4;"SSD";"256";"0";"Intel";"  HD Graphics 620";"windows";1.32;37243
141;"Acer";"Notebook";17.3;1920;1080;0;"Intel";"Core i3";"2.70";4;"HDD";"1024";"0";"Nvidia";"  GeForce MX130";"windows";3.0;34898
142;"Lenovo";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"AMD";"  Radeon RX 550";"windows";1.75;59462
143;"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";"2.80";8;"SSD";"256";"0";"Nvidia";"  GeForce GTX 1050M";"N/A";2.4;46300
144;"Toshiba";"Notebook";15.6;1366;768;0;"Intel";"Core i5";"2.30";4;"HDD";"500";"0";"Intel";"  HD Graphics 520";"windows";2.1;32075
145;"HP";"Notebook";15.6;1366;768;0;"AMD";"A6-Series 9220";"2.50";4;"SSD";"256";"0";"AMD";"  Radeon R4 Graphics";"windows";1.86;19660
146;"Asus";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";"1.80";8;"SSD";"256";"0";"Intel";"  UHD Graphics 620";"windows";1.25;58555
147;"HP";"Ultrabook";12.5;3840;2160;1;"Intel";"Core M";"1.20";8;"SSD";"512";"0";"Intel";"  HD Graphics 515";"windows";0.97;107306
148;"Asus";"Notebook";15.6;1920;1080;0;"Intel";"Celeron Dual";"1.10";4;"HDD";"1024";"0";"Intel";"  HD Graphics 500";"windows";2.0;18328
150;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";"2.00";4;"HDD";"1024";"0";"Intel";"  HD Graphics 520";"windows";2.1;23816
151;"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";"2.80";16;"SSD";"512";"0";"Nvidia";"  GeForce GTX 1050";"windows";2.56;66561
152;"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";"2.80";8;"hybrid";"1024";"0";"Nvidia";"  GeForce GTX 1050";"windows";2.62;47899
153;"Lenovo";"Notebook";15.6;1366;768;0;"Intel";"Core i5";"2.50";4;"SSD";"128";"0";"Intel";"  HD Graphics 620";"windows";1.9;26533
154;"MSI";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";"2.80";16;"Hybrid";"256";"1024";"Nvidia";"  GeForce GTX 1060";"windows";2.8;100699
155;"HP";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i5";"2.70";4;"SSD";"256";"0";"Intel";"  HD Graphics 620";"windows";1.48;57649
156;"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";"1.60";6;"SSD";"256";"0";"AMD";"  Radeon 520";"windows";1.91;32980
157;"Lenovo";"2 in 1 Convertible";14.0;1920;1080;1;"Intel";"Core i3";"2.40";4;"SSD";"256";"0";"Intel";"  HD Graphics 620";"windows";1.74;33513
158;"Asus";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Intel";"  HD Graphics 620";"windows";1.1;70063
159;"Dell";"2 in 1 Convertible";15.6;1920;1080;1;"Intel";"Core i7";"1.80";8;"SSD";"256";"0";"Intel";"  UHD Graphics 620";"windows";1.56;55891
160;"Toshiba";"Notebook";15.6;1366;768;0;"Intel";"Core i3";"2.20";4;"HDD";"500";"0";"Intel";"  HD Graphics 520";"windows";2.1;23816
161;"Asus";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";"3.00";4;"HDD";"1024";"0";"AMD";"  Radeon R5 M420";"windows";2.03;21472
162;"Acer";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";"1.60";4;"SSD";"256";"0";"Nvidia";"  GeForce MX150";"windows";3.0;42890
163;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"AMD";"  Radeon 520";"windows";2.13;38788
164;"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";"2.80";16;"SSD";"256";"0";"Nvidia";"  GeForce GTX 1050 Ti";"windows";2.5;57489
165;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Celeron Dual";"1.10";4;"HDD";"1024";"0";"Intel";"  HD Graphics 500";"windows";2.1;18541
166;"MSI";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";"2.80";16;"Hybrid";"256";"1024";"Nvidia";"  GeForce GTX 1060";"windows";2.4;95851
167;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Pentium Quad";"1.10";4;"HDD";"1024";"0";"Intel";"  HD Graphics 505";"windows";2.1;19368
168;"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";"2.80";8;"Hybrid";"128";"1024";"Nvidia";"  GeForce GTX 1050";"windows";2.56;56503
169;"Acer";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Nvidia";"  GeForce MX150";"windows";3.0;45501
